"date","tone_mean","goldstein_mean","news_volume","event_count","extreme_negative"
"2015-10-04","5.0","43.0","4","2","0"
"2024-10-01","7.571428571428571","107.28571428571429","-16","7","0"
"2025-09-01","7.142857142857143","76.42857142857143","3","7","0"
"2025-09-24","6.8","59.4","16","5","0"
"2025-09-30","1.0","43.0","2","1","0"
"2025-10-01","6.323108384458077","64.23312883435582","444","489","0"
